travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority,overnight_stay_location
own vehicle,own vehicle,0,self-catering accommodation,1100,200,0,average,average,not interested in social programme,good,average,average,some days,yes,good,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,320,100,0,excellent,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,near crieff
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,good,NA,excellent,excellent,yes,yes,good,other uk,NA,"lochearnhead, perth, pitlochry"
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,good,good,good,yes,yes,good,other uk,NA,comrie
military car,event bus,3,event campsite (comrie croft),200,90,20,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,3600,0,10,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA,buchanty
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,good,scotland,east dunbartonshire,sma glen
own vehicle,own vehicle,0,with friends / relatives,0,75,7,excellent,good,not interested in social programme,NA,good,excellent,no,no,NA,other uk,NA,crieff
air,hired vehicle,0,guest house / b+b,150,150,3,good,excellent,excellent,average,average,good,some days,yes,excellent,other europe,NA,"buchanty, glenalmond"
own vehicle,own vehicle,2,self-catering accommodation,2500,1500,2,excellent,good,not interested in social programme,very poor,good,good,no,no,NA,other uk,NA,aberfeldy
own vehicle,event bus,6,other camping / caravan site,0,75,7,excellent,excellent,average,NA,excellent,excellent,yes,yes,good,scotland,highland,aberfeldy
own vehicle,event bus,6,event campsite (comrie croft),150,150,3,excellent,excellent,good,NA,good,good,no,no,NA,other uk,NA,crieff
hired vehicle,hired vehicle,0,hotel,100,40,3,good,average,good,NA,good,average,some days,yes,average,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,good,average,NA,good,excellent,some days,no,NA,rest of the world,NA,dunning
we only went to edinchip and grandtully,hired vehicle,0,hotel,120,140,6,good,good,not interested in social programme,NA,good,average,some days,yes,good,other uk,NA,perth
own vehicle,own vehicle,0,at home,70,6,0,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,scotland,edinburgh,crime 20 shilling campsite
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,NA,good,average,some days,no,NA,scotland,clackmannanshire,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,good,good,NA,excellent,good,yes,no,NA,other europe,NA,fortingall
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),250,150,1,excellent,excellent,good,NA,good,excellent,some days,no,NA,rest of the world,NA,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,1400,100,8,excellent,excellent,not interested in social programme,excellent,excellent,good,yes,no,NA,other uk,NA,braco
own vehicle,own vehicle,0,event campsite (comrie croft),800,50,4,excellent,excellent,not interested in social programme,NA,excellent,good,some days,no,NA,scotland,east dunbartonshire,dunkeld
own vehicle,shared private vehicle,0,hotel,0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,creif
own vehicle,own vehicle,0,self-catering accommodation,2000,100,14,excellent,excellent,not interested in social programme,good,excellent,excellent,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,excellent,NA,good,good,no,no,NA,other uk,NA,crieff
air,shared private vehicle,0,hotel,75,50,14,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,scotland,falkirk,"dalveich,kinloch"
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,good,good,not interested in social programme,NA,average,good,no,no,NA,other europe,NA,aberfeldy
own vehicle,own vehicle,0,event campsite (comrie croft),200,90,20,excellent,excellent,excellent,good,good,excellent,yes,no,NA,scotland,highland,comrie and stirling
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
hired vehicle,hired vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,NA,good,good,yes,yes,good,other uk,NA,killin
hired vehicle,mix of bus and rental car,1,event campsite (comrie croft),250,150,1,good,good,good,NA,excellent,excellent,no,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,on a motorhome site,120,140,6,excellent,good,not interested in social programme,NA,good,average,some days,no,NA,scotland,falkirk,stirling university
own vehicle,own vehicle,0,event campsite (comrie croft),100,40,3,good,good,good,NA,good,excellent,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,350,60,5,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other europe,NA,comrie croft
own vehicle,own vehicle,0,with friends / relatives,650,150,14,excellent,excellent,excellent,NA,good,average,no,no,NA,scotland,stirling,edinburgh
hired vehicle,hired vehicle,0,self-catering accommodation,300,100,6,good,good,good,average,average,average,no,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,1200,100,7,excellent,excellent,excellent,good,excellent,average,no,no,NA,other uk,NA,killin
hired vehicle,hired vehicle,0,self-catering accommodation,0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other europe,NA,auchterarder
"car and rail, we came separately",own vehicle,0,on a motorhome site,300,100,6,excellent,excellent,not interested in social programme,NA,good,average,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,hostel,1300,60,15,excellent,excellent,excellent,NA,excellent,excellent,yes,yes,good,scotland,mid lothian,"mynydd isa, mold"
own vehicle,own vehicle,0,other camping / caravan site,120,140,6,good,good,good,very poor,average,good,no,no,NA,scotland,edinburgh,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,good,excellent,not interested in social programme,good,good,good,some days,yes,good,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,excellent,good,excellent,good,some days,yes,good,other uk,NA,bridge of earn
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,excellent,excellent,not interested in social programme,average,excellent,excellent,no,no,NA,other uk,NA,little dunkeld
own vehicle,own vehicle,0,self-catering accommodation,760,120,6,excellent,excellent,good,good,good,excellent,yes,yes,excellent,other europe,NA,glenfarg
own vehicle,own vehicle,0,hostel,70,6,0,excellent,excellent,excellent,NA,excellent,excellent,yes,yes,good,other europe,NA,comrie
own vehicle,own vehicle,1,event campsite (comrie croft),140,150,4,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA,brig o turk
own vehicle,own vehicle,0,event campsite (comrie croft),200,90,20,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,no,NA,other uk,NA,"strathyre, aberfeldy, lenzie"
own vehicle,own vehicle,0,with friends / relatives,195,70,13,good,excellent,average,NA,excellent,good,no,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,hotel,300,100,6,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,rest of the world,NA,killin
own vehicle,own vehicle,0,hotel,50,50,4,excellent,excellent,excellent,excellent,excellent,excellent,some days,yes,excellent,other uk,NA,amulree
own vehicle,own vehicle,0,hotel,400,50,2,excellent,excellent,excellent,excellent,excellent,excellent,some days,no,NA,other uk,NA,comrie/crieff
own vehicle,own vehicle,0,self-catering accommodation,2200,150,2,good,good,not interested in social programme,good,average,average,no,no,NA,other uk,NA,perth
air,hired vehicle,0,self-catering accommodation,0,75,7,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other uk,NA,crieff
hired vehicle,hired vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,excellent,NA,good,excellent,yes,yes,average,other uk,NA,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,average,good,good,some days,no,NA,other uk,NA,comrie
hired vehicle,hired vehicle,0,self-catering accommodation,272,60,1,excellent,good,excellent,NA,excellent,excellent,no,yes,excellent,other uk,NA,stirling
own vehicle,event bus,3,event campsite (comrie croft),800,50,4,good,poor,good,NA,average,average,yes,yes,average,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),360,150,3,good,good,not interested in social programme,NA,good,excellent,some days,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,other camping / caravan site,200,90,20,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,scotland,aberdeenshire,brig o turk
own vehicle,own vehicle,2,event campsite (comrie croft),0,75,7,excellent,good,good,NA,excellent,excellent,some days,no,NA,scotland,edinburgh,comrie
own vehicle,event bus,6,event campsite (comrie croft),70,6,0,excellent,excellent,excellent,NA,excellent,average,no,no,NA,other uk,NA,callander
air,hired vehicle,0,hotel,150,150,3,good,good,good,NA,average,good,some days,yes,good,scotland,scottish borders,"lawers, loch tay"
own vehicle,own vehicle,0,at home,140,150,4,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,at home,225,0,10,excellent,excellent,excellent,average,good,good,some days,no,NA,other uk,NA,crieff
air,hired vehicle,0,guest house / b+b,140,150,4,excellent,good,not interested in social programme,average,good,average,some days,yes,good,other uk,NA,st fillans
own vehicle,own vehicle,0,event campsite (comrie croft),650,150,14,average,good,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,dunkeld
own vehicle,own vehicle,0,guest house / b+b,70,6,0,good,excellent,good,NA,excellent,excellent,yes,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,some days,no,NA,other uk,NA,"dunblane, logierait (pitlochry)"
own vehicle,own vehicle,0,self-catering accommodation,1700,300,10,excellent,excellent,excellent,NA,good,good,yes,yes,average,other uk,NA,glen eagles
own vehicle,event bus,5,event campsite (comrie croft),450,250,1,excellent,excellent,good,excellent,good,good,no,no,NA,scotland,south norfolk,muthill
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,comrie
hired vehicle,hired vehicle,0,guest house / b+b,0,75,7,excellent,excellent,good,average,excellent,excellent,yes,yes,excellent,other uk,NA,stirling
own vehicle,shared private vehicle,0,self-catering accommodation,1400,100,8,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,yes,excellent,rest of the world,NA,logierait
own vehicle,own vehicle,0,self-catering accommodation,380,110,10,excellent,excellent,excellent,NA,excellent,average,no,no,NA,scotland,highland,"comrie croft campsite then sister's house, aberfeldy"
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,good,average,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),150,150,3,excellent,excellent,excellent,excellent,good,good,no,yes,good,rest of the world,NA,lochearnhead lochside lodges (hoseasons)
own vehicle,own vehicle,0,event campsite (comrie croft),470,100,10,good,good,good,NA,excellent,excellent,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,good,good,not interested in social programme,NA,average,average,no,no,NA,rest of the world,NA,"viewmount, croftinloan, pitlochry"
air,hired vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,NA,good,good,yes,yes,good,other uk,NA,1. drummond trout farm   2. mainstay farm
hired vehicle,hired vehicle,0,guest house / b+b,84,40,2,good,poor,good,average,good,good,some days,no,NA,other uk,NA,weem
own vehicle,own vehicle,0,event campsite (comrie croft),160,80,4,excellent,excellent,excellent,average,good,good,no,no,NA,other europe,NA,bankfoot
own vehicle,own vehicle,0,with friends / relatives,700,0,10,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,other europe,NA,comrie
own vehicle,own vehicle,0,hotel,200,90,20,excellent,good,good,NA,good,good,yes,no,NA,other uk,NA,crieff campsite
own vehicle,own vehicle,0,self-catering accommodation,1300,60,15,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,yes,excellent,other uk,NA,stirling (1 night) st fillans (7 nights)
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,loch ranch
own vehicle,own vehicle,0,self-catering accommodation,824,90,0,excellent,excellent,not interested in social programme,good,excellent,average,some days,yes,good,other uk,NA,lochearnhead and grandtully
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,excellent,excellent,not interested in social programme,NA,good,excellent,some days,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,auchterarder
own vehicle,event bus,4,event campsite (comrie croft),0,75,7,excellent,excellent,good,average,excellent,excellent,some days,no,NA,rest of the world,NA,methven
own vehicle,cycle,0,event campsite (comrie croft),200,90,20,excellent,excellent,not interested in social programme,poor,good,excellent,no,no,NA,scotland,mid lothian,dunkeld
air,hired vehicle,0,hotel,200,90,20,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,stirling,crieff
own vehicle,own vehicle,0,event campsite (comrie croft),60,60,6,excellent,excellent,good,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,shared private vehicle,0,hotel,400,50,2,good,good,good,good,excellent,excellent,some days,yes,average,other europe,NA,loch tay
own vehicle,own vehicle,0,self-catering accommodation,1200,100,7,poor,good,not interested in social programme,good,excellent,good,yes,no,NA,other uk,NA,gargunnock
own vehicle,own vehicle,0,self-catering accommodation,200,90,20,excellent,good,good,NA,excellent,excellent,yes,no,NA,other uk,NA,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,270,60,3,good,poor,good,poor,excellent,excellent,yes,no,NA,rest of the world,NA,edinburgh
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,average,excellent,good,good,good,good,no,no,NA,other uk,NA,perth (outskirts)
hired vehicle,hired vehicle,0,event campsite (comrie croft),200,90,20,excellent,good,good,NA,excellent,excellent,some days,no,NA,rest of the world,NA,crieff
air,hired vehicle,0,event campsite (comrie croft),150,150,3,excellent,excellent,excellent,NA,good,good,yes,no,NA,scotland,perthshire,stirling
own vehicle,own vehicle,0,self-catering accommodation,2200,150,2,excellent,excellent,excellent,excellent,good,good,no,no,NA,other europe,NA,perth
own vehicle,own vehicle,0,at home,157.5,50,4,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,scotland,sweden,crieff
hired vehicle,hired vehicle,0,hotel,1000,1000,2,poor,excellent,good,good,good,excellent,yes,no,NA,other uk,NA,dunkeld
own vehicle,shared private vehicle,0,event campsite (comrie croft),200,90,20,excellent,good,not interested in social programme,NA,excellent,good,yes,yes,average,scotland,scottish borders,callander
own vehicle,event bus,6,event campsite (comrie croft),0,75,7,excellent,average,excellent,NA,excellent,average,yes,yes,average,other uk,NA,0
own vehicle,own vehicle,0,self-catering accommodation,570,65,13,good,good,good,good,excellent,excellent,yes,no,NA,other uk,NA,muthill (near crieff)
own vehicle,own vehicle,1,self-catering accommodation,600,200,22,excellent,good,not interested in social programme,excellent,good,excellent,yes,no,NA,scotland,perth and kinross,stirling
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,average,good,good,some days,no,NA,scotland,fife,comrie
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,excellent,NA,excellent,good,some days,yes,good,scotland,edinburgh,comrie
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,NA,good,average,some days,yes,good,other europe,NA,perth
own vehicle,shared private vehicle,0,with friends / relatives,900,100,5,excellent,good,not interested in social programme,NA,good,excellent,yes,no,NA,other uk,NA,milton of machany
own vehicle,own vehicle,0,at home,150,150,3,good,excellent,good,NA,excellent,excellent,no,no,NA,other uk,NA,"crieff, lochearnhead, lintrathen, pitcrocknie, bankfoot,"
own vehicle,own vehicle,0,hotel,560,60,14,excellent,excellent,excellent,good,excellent,excellent,yes,no,NA,other europe,NA,comrie
own vehicle,own vehicle,0,hotel,315,100,6,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,average,other uk,NA,comrie
own vehicle,own vehicle,0,other camping / caravan site,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,excellent,good,good,excellent,some days,yes,good,other uk,NA,ardeonaig
own vehicle,own vehicle,0,other camping / caravan site,70,6,0,good,average,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,3000,720,13,excellent,good,not interested in social programme,NA,average,poor,no,no,NA,other europe,NA,crieff
i live here.,own vehicle,0,at home,0,75,7,excellent,good,not interested in social programme,good,good,good,yes,yes,good,scotland,highland,killin
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,excellent,good,excellent,excellent,some days,yes,excellent,rest of the world,NA,edinburg
own vehicle,own vehicle,0,at home,155,150,3,excellent,excellent,excellent,good,good,good,some days,no,NA,other uk,NA,st fillans
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,good,excellent,NA,good,average,some days,yes,excellent,other uk,NA,edinburgh
air,hired vehicle,0,self-catering accommodation,350,60,5,good,good,not interested in social programme,average,good,good,no,no,NA,scotland,lothian,nr dunkeld
own vehicle,own vehicle,0,event campsite (comrie croft),120,140,6,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,other europe,NA,glenfarg house
own vehicle,own vehicle,0,other camping / caravan site,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,good,some days,yes,good,other uk,NA,aberfeldy
own vehicle,own vehicle,0,self-catering accommodation,850,40,4,good,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,rest of the world,NA,moneydie
own vehicle,own vehicle,0,other camping / caravan site,70,6,0,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,other europe,NA,crieff
own vehicle,own vehicle,0,hotel and friends (moved around),120,140,6,excellent,good,not interested in social programme,good,good,average,no,no,NA,other uk,NA,ashtead
own vehicle,own vehicle,1,event campsite (comrie croft),0,75,7,good,excellent,not interested in social programme,average,excellent,good,no,no,NA,other uk,NA,kenmore
hired vehicle,own vehicle,2,event campsite (comrie croft),500,30,4,excellent,excellent,not interested in social programme,good,good,good,no,no,NA,scotland,scottish borders council,perth
hired vehicle,hired vehicle,0,guest house / b+b,650,150,14,excellent,excellent,not interested in social programme,NA,good,excellent,some days,yes,good,other europe,NA,"stanley, near perth"
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,NA,good,good,some days,yes,poor,other uk,NA,balquhidder station
own vehicle,own vehicle,0,guest house / b+b,1500,1000,11,excellent,excellent,not interested in social programme,good,good,good,no,no,NA,scotland,east dunbartonshire,strathearn
i live there.....,shared private vehicle,0,at home,0,75,7,excellent,excellent,good,good,excellent,excellent,no,yes,excellent,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,excellent,good,good,excellent,yes,yes,good,other uk,NA,tulchan
own vehicle,own vehicle,0,guest house / b+b,320,100,0,excellent,excellent,good,good,excellent,excellent,some days,yes,excellent,scotland,perth & kinross,st fillans
own vehicle,own vehicle,0,event campsite (comrie croft),345,45,11,excellent,excellent,good,NA,average,average,some days,no,NA,other uk,NA,scone camp site
rail,event bus,3,event campsite (comrie croft),1020,69,26,good,good,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,good,good,NA,good,good,yes,no,NA,rest of the world,NA,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,1500,1000,11,excellent,good,not interested in social programme,good,good,good,some days,yes,good,rest of the world,NA,auchterarder
